[2026-01-08 18:31:27] Client: [::1]:42934 | Host: www.hotstar.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:27] Client: [::1]:42972 | Host: aks-prod-southeastasia.access-point.cloudmessaging.edge.microsoft.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:27] Client: [::1]:42982 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:31:28] Client: [::1]:42920 | Host: alive.github.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:28] Client: [::1]:43008 | Host: client.wns.windows.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:28] Client: [::1]:42994 | Host: mtalk.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:28] Client: [::1]:43022 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:31:35] Client: [::1]:43048 | Host: mtalk.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:35] Client: [::1]:43058 | Host: aks-prod-southeastasia.access-point.cloudmessaging.edge.microsoft.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:35] Client: [::1]:43068 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:31:36] Client: [::1]:43036 | Host: alive.github.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:36] Client: [::1]:43078 | Host: client.wns.windows.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:36] Client: [::1]:56418 | Host: signaler-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:36] Client: [::1]:56424 | Host: mail.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:42] Client: [::1]:56434 | Host: edge.microsoft.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:42] Client: [::1]:56450 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:31:49] Client: [::1]:48218 | Host: data.flipshope.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:49] Client: [::1]:48226 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:31:56] Client: [::1]:36632 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:32:03] Client: [::1]:36644 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:32:08] Client: [::1]:54728 | Host: prod-dynamite-prod-02-us-signaler-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:32:08] Client: [::1]:54750 | Host: prod-dynamite-prod-02-us-signaler-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:32:08] Client: [::1]:54734 | Host: 9-prod-dynamite-prod-02-us-signaler-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:32:10] Client: [::1]:54764 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:32:17] Client: [::1]:52830 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:32:24] Client: [::1]:52846 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:32:31] Client: [::1]:43694 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:32:38] Client: [::1]:47188 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
